"dt","AverageTemperature","country"
"2012-11-01",22.346,"Guatemala"
"2012-12-01",22.089,"Guatemala"
"2012-01-01",25.911,"Guyana"
"2012-02-01",25.902,"Guyana"
"2012-03-01",26.585,"Guyana"
"2012-04-01",26.431,"Guyana"
"2012-05-01",26.537,"Guyana"
"2012-06-01",26.401,"Guyana"
"2012-07-01",26.154,"Guyana"
"2012-08-01",26.927,"Guyana"
"2012-09-01",27.863,"Guyana"
"2012-10-01",27.843,"Guyana"
"2012-11-01",28.01,"Guyana"
"2012-12-01",27.038,"Guyana"
"2012-01-01",23.646,"Honduras"
"2012-02-01",24.71,"Honduras"
"2012-03-01",26.091,"Honduras"
"2012-04-01",26.872,"Honduras"
"2012-05-01",26.847,"Honduras"
"2012-06-01",26.467,"Honduras"
"2012-07-01",25.695,"Honduras"
"2012-08-01",25.892,"Honduras"
"2012-09-01",25.874,"Honduras"
"2012-10-01",24.596,"Honduras"
"2012-11-01",23.025,"Honduras"
"2012-12-01",23.412,"Honduras"
"2012-01-01",10.767,"Israel"
"2012-02-01",12.046,"Israel"
"2012-03-01",14.268,"Israel"
"2012-04-01",20.282,"Israel"
"2012-05-01",23.85,"Israel"
"2012-06-01",27.362,"Israel"
"2012-07-01",29.583,"Israel"
"2012-08-01",28.955,"Israel"
"2012-09-01",27.232,"Israel"
"2012-10-01",24.231,"Israel"
"2012-11-01",19.342,"Israel"
"2012-12-01",14.155,"Israel"
"2012-01-01",13,"Kuwait"
"2012-02-01",14.724,"Kuwait"
"2012-03-01",18.321,"Kuwait"
"2012-04-01",26.141,"Kuwait"
"2012-05-01",33.489,"Kuwait"
"2012-06-01",36.956,"Kuwait"
"2012-07-01",38.842,"Kuwait"
"2012-08-01",38.02,"Kuwait"
"2012-09-01",33.848,"Kuwait"
"2012-10-01",29.082,"Kuwait"
"2012-11-01",21.5,"Kuwait"
"2012-12-01",16.184,"Kuwait"
"2012-01-01",12.028,"Libya"
"2012-02-01",14.064,"Libya"
"2012-03-01",17.412,"Libya"
"2012-04-01",25.268,"Libya"
"2012-05-01",28.385,"Libya"
"2012-06-01",30.59,"Libya"
"2012-07-01",31.051,"Libya"
"2012-08-01",30.556,"Libya"
"2012-09-01",28.936,"Libya"
"2012-10-01",26.033,"Libya"
"2012-11-01",20.609,"Libya"
"2012-12-01",14.316,"Libya"
"2012-01-01",3.678,"Luxembourg"
"2012-02-01",-0.899,"Luxembourg"
"2012-03-01",8.467,"Luxembourg"
"2012-04-01",8.331,"Luxembourg"
"2012-05-01",14.622,"Luxembourg"
"2012-06-01",15.486,"Luxembourg"
"2012-07-01",17.773,"Luxembourg"
"2012-08-01",19.398,"Luxembourg"
